,longitude,latitude,zipcode,num_bedrooms,num_bathrooms,listing_price,neighborhood,street_address
1053,-97.76033,30.25061,78704,2.0,2.0,250.0,Bouldin Creek,Becker Elementary School 906
1054,-97.7015,30.30799,78723,2.0,2.0,165.0,Windsor Park,1413 Broadmoor Drive
1055,-97.74686,30.25506,78704,2.0,2.0,799.0,South Congress,Congress Square II South Congress Avenue
1056,-97.78863,30.25882,78746,1.0,1.0,129.0,Barton Hills,2904 Barton Skyway
1057,-97.72568,30.30958,78751,1.0,1.0,56.0,Hyde Park,4528 Avenue G
1058,-97.72122,30.2217,78741,2.0,2.0,250.0,Pleasant Valley,5001 East Oltorf Street
1059,-97.75464,30.26925,78703,2.0,2.0,999.0,Old West Austin,317 North Lamar Boulevard
1060,-97.78645,30.46482,78729,3.0,3.0,177.0,Anderson Mill,13208 Hymeadow Circle
1061,-97.77611,30.26225,78704,3.0,3.0,2000.0,Barton Hills,2607 Trailside Drive
1062,-97.74082,30.26838,78701,2.0,2.0,268.0,Downtown,Southwest Tower 211
1063,-97.7429,30.2664,78701,2.0,2.0,203.0,Downtown,Frost Bank Tower 419
1064,-97.74247,30.26678,78701,2.0,2.0,184.0,Downtown,Frost Bank Tower East 5th Street
1065,-97.72383,30.26735,78702,3.0,3.0,325.0,East Downtown,1604 East 11th Street
1066,-97.73087,30.25863,78702,4.0,4.0,150.0,East Downtown,1314 Willow Street
1067,-97.74348,30.25356,78704,1.0,1.0,64.0,Travis Heights,400 East Riverside Drive
1068,-97.72663,30.25701,78702,3.0,3.0,176.0,East Downtown,1702 Willow Street
1069,-97.72343,30.28512,78722,3.0,3.0,415.0,,Facilities Complex Building 3 1207
1070,-97.756,30.27965,78703,1.0,1.0,185.0,Clarksville,1206 Lorrain Street
1073,-97.73958,30.2393,78704,3.0,3.0,425.0,Travis Heights,1304 Mariposa Drive
1075,-97.7072,30.28013,78702,3.0,3.0,450.0,Rosewood,1703 Clifford Avenue
1076,-97.71599,30.28751,78722,3.0,3.0,800.0,Upper Boggy Creek,3209 Cherrywood Road
1077,-97.76731,30.25365,78704,3.0,3.0,451.0,Zilker,1507 Kinney Avenue
1078,-97.82867,30.21248,78745,1.0,1.0,95.0,,3405 West William Cannon Drive
1079,-97.70115,30.31224,78723,1.0,1.0,49.0,Windsor Park,1315 Ridgemont Drive
1080,-97.75824,30.27804,78703,4.0,4.0,1400.0,Old West Austin,1408 West 10th Street
1081,-97.7416,30.29296,78705,1.0,1.0,195.0,University of Texas,2718 Guadalupe Street
1082,-97.79316,30.21926,78745,2.0,2.0,700.0,South Manchaca,1802 Jentsch Court
1083,-97.79916,30.45988,78750,2.0,2.0,170.0,Anderson Mill,10507 Mellow Meadows
1084,-97.71742,30.28148,78722,1.0,1.0,44.0,Upper Boggy Creek,2001 Chestnut Avenue
1085,-97.74044,30.39522,78759,1.0,1.0,163.0,,Stonelake Boulevard Gateway
1086,-97.71059,30.23557,78741,3.0,3.0,215.0,Pleasant Valley,Riverside Golf Course 1020
1087,-97.749,30.24583,78704,1.0,1.0,129.0,South Congress,206 East Annie Street
1088,-97.71402,30.2801,78702,1.0,1.0,226.0,East Downtown,1805 Cedar Avenue
1089,-97.7731,30.25849,78704,1.0,1.0,290.0,Barton Hills,1304 Azie Morton Road
