,street_address,zipcode,latitude,longitude,num_bedrooms,num_bathrooms,rent_price,sqft,type,URL
1278,(Undisclosed Address),78757,,,2.0,1.0,1850.0,833.0, Apartment,https://www.zillow.com/homedetails/Austin-TX-78757/2081017208_zpid/
1284,15013 Haley Hollow,78728,,,3.0,2.0,2300.0,1744.0, SingleFamily,https://www.zillow.com/homedetails/15013-Haley-Holw-Austin-TX-78728/29451559_zpid/
1286,2814 Nueces St APT 208,78705,,,1.0,1.0,1425.0,450.0, Apartment,https://www.zillow.com/homedetails/2814-Nueces-St-APT-208-Austin-TX-78705/2071026642_zpid/
1292,301 Highland Horizon,78717,,,3.0,2.0,2750.0,1778.0, SingleFamily,https://www.zillow.com/homedetails/301-Highland-Horizon-Austin-TX-78717/89659635_zpid/
1294,9302 San Juan Pass,78737,,,3.0,2.0,3195.0,2024.0, SingleFamily,https://www.zillow.com/homedetails/9302-San-Juan-Pass-Austin-TX-78737/29487586_zpid/
1297,304 John Nance Garner Cir UNIT 2,78753,,,3.0,1.0,1875.0,1219.0, Apartment,https://www.zillow.com/homedetails/304-John-Nance-Garner-Cir-UNIT-2-Austin-TX-78753/2066392104_zpid/
1298,12713 Machete Trl,78729,,,4.0,2.0,3000.0,2414.0, SingleFamily,https://www.zillow.com/homedetails/12713-Machete-Trl-Austin-TX-78729/29596348_zpid/
1299,1403 Larkwood Dr,78723,,,3.0,2.0,3995.0,1800.0, SingleFamily,https://www.zillow.com/homedetails/1403-Larkwood-Dr-Austin-TX-78723/29406902_zpid/
1300,2104 Pompton Dr,78757,,,2.0,1.0,1650.0,950.0, Apartment,https://www.zillow.com/homedetails/2104-Pompton-Dr-Austin-TX-78757/29423156_zpid/
1301,2500 Steck Ave APT 7,78757,,,1.0,1.0,1600.0,680.0, Apartment,https://www.zillow.com/homedetails/2500-Steck-Ave-APT-7-Austin-TX-78757/70348522_zpid/
1304,8303 Bradford Edward Cv #A,78759,,,2.0,2.5,2200.0,1273.0, Townhouse,https://www.zillow.com/homedetails/8303-Bradford-Edward-Cv-A-Austin-TX-78759/2079419704_zpid/
1305,(Undisclosed Address),78742,,,2.0,2.5,2900.0,995.0, Apartment,https://www.zillow.com/homedetails/Austin-TX-78742/144986570_zpid/
1306,1904 Anita Dr #A,78704,,,2.0,1.0,3600.0,900.0, Apartment,https://www.zillow.com/homedetails/1904-Anita-Dr-A-Austin-TX-78704/2112999935_zpid/
1307,1403 Sahara Ave,78745,,,3.0,2.0,2250.0,1400.0, SingleFamily,https://www.zillow.com/homedetails/1403-Sahara-Ave-Austin-TX-78745/29489841_zpid/
1308,3601 Las Colinas Dr APT D,78731,,,2.0,2.5,2490.0,1312.0, Townhouse,https://www.zillow.com/homedetails/3601-Las-Colinas-Dr-APT-D-Austin-TX-78731/60136373_zpid/
1310,2804 S 1st St #2105,78704,,,3.0,2.0,3995.0,1768.0, Townhouse,https://www.zillow.com/homedetails/2804-S-1st-St-2105-Austin-TX-78704/305433785_zpid/
1311,6007 Fairway St #A,78741,,,1.0,1.0,1350.0,650.0, MultiFamily,https://www.zillow.com/homedetails/6007-Fairway-St-A-Austin-TX-78741/2132067076_zpid/
1312,11420 Milano Dr,78747,,,3.0,2.0,2400.0,1472.0, SingleFamily,https://www.zillow.com/homedetails/11420-Milano-Dr-Austin-TX-78747/331624451_zpid/
1318,6803 Blue Dawn Trl #B,78744,,,2.0,1.0,1790.0,892.0, Apartment,https://www.zillow.com/homedetails/6803-Blue-Dawn-Trl-B-Austin-TX-78744/2131921701_zpid/
1320,2210 Willow St,78702,,,2.0,1.0,2500.0,996.0, SingleFamily,https://www.zillow.com/homedetails/2210-Willow-St-Austin-TX-78702/29382382_zpid/
1324,7109 Tesoro Trl,78729,,,3.0,2.0,2600.0,1828.0, SingleFamily,https://www.zillow.com/homedetails/7109-Tesoro-Trl-Austin-TX-78729/29574800_zpid/
1325,3405 Pennsylvania Ave UNIT B,78721,,,3.0,3.0,5000.0,1377.0, Apartment,https://www.zillow.com/homedetails/3405-Pennsylvania-Ave-UNIT-B-Austin-TX-78721/331626547_zpid/
1326,2800 Alsatia Dr,78748,,,3.0,2.0,3250.0,2192.0, SingleFamily,https://www.zillow.com/homedetails/2800-Alsatia-Dr-Austin-TX-78748/70335304_zpid/
1327,2402 Riddle Rd #A,78748,,,3.0,2.5,1595.0,1100.0, Townhouse,https://www.zillow.com/homedetails/2402-Riddle-Rd-A-Austin-TX-78748/2070791268_zpid/
1330,3607 Marcae Ct #A,78704,,,3.0,3.0,7000.0,1793.0, SingleFamily,https://www.zillow.com/homedetails/3607-Marcae-Ct-A-Austin-TX-78704/119618532_zpid/
1332,40 N Interstate Highway 35 Highway #PB4,78701,,,2.0,2.0,3800.0,1459.0, Condo,https://www.zillow.com/homedetails/40-N-Interstate-Highway-35-Hwy-PB4-Austin-TX-78701/2065677353_zpid/
1334,13409 Brahmin Dr,78724,,,3.0,2.0,2050.0,1650.0, SingleFamily,https://www.zillow.com/homedetails/13409-Brahmin-Dr-Austin-TX-78724/251031670_zpid/
1336,1909 Cleese Dr,78741,,,3.0,3.0,3000.0,1651.0, Apartment,https://www.zillow.com/homedetails/1909-Cleese-Dr-Austin-TX-78741/2063504343_zpid/
1337,5000 Springdale Rd,78723,,,1.0,1.0,1735.0,700.0, Apartment,https://www.zillow.com/homedetails/5000-Springdale-Rd-Austin-TX-78723/2064177530_zpid/
1338,2001 Faro Dr APT 39,78741,,,3.0,2.5,2500.0,1532.0, Apartment,https://www.zillow.com/homedetails/2001-Faro-Dr-APT-39-Austin-TX-78741/119623790_zpid/
