,street_address,zipcode,num_bedrooms,num_bathrooms,home_price,latest_saledate,latest_salemonth,latest_saleyear,URL
1335,4614 Truth Way #457,78725,3,2,,15,3,2022,https://www.zillow.com/homedetails/4614-Truth-Way-457-Austin-TX-78725/2065572836_zpid/
1336,4700 Ganymede Dr,78727,5,2,499000,28,2,2021,https://www.zillow.com/homedetails/4700-Ganymede-Dr-Austin-TX-78727/29444099_zpid/
1337,4801 S Congress Ave APT R3,78745,2,2,319750,10,1,2021,https://www.zillow.com/homedetails/4801-S-Congress-Ave-APT-R3-Austin-TX-78745/89546466_zpid/
1338,4803 Munson St,78721,3,2,448600,24,8,2021,https://www.zillow.com/homedetails/4803-Munson-St-Austin-TX-78721/29386692_zpid/
1339,4806 Scarsdale Dr,78744,3,2,573500,8,3,2021,https://www.zillow.com/homedetails/4806-Scarsdale-Dr-Austin-TX-78744/29466471_zpid/
1340,4830 Trail Crest Cir,78735,3,2,893100,6,4,2021,https://www.zillow.com/homedetails/4830-Trail-Crest-Cir-Austin-TX-78735/29473974_zpid/
1341,5005 Brushy Ridge Dr,78744,3,2,469000,17,5,2021,https://www.zillow.com/homedetails/5005-Brushy-Ridge-Dr-Austin-TX-78744/29468762_zpid/
1342,5017 Fort Clark Dr,78745,2,2,,16,7,2021,https://www.zillow.com/homedetails/5017-Fort-Clark-Dr-Austin-TX-78745/29487831_zpid/
1343,503 Thelma Dr,78745,2,2,563700,10,3,2022,https://www.zillow.com/homedetails/503-Thelma-Dr-Austin-TX-78745/29500676_zpid/
1344,507 Sabine St APT 1007,78701,2,2,800000,27,12,2019,https://www.zillow.com/homedetails/507-Sabine-St-APT-1007-Austin-TX-78701/83820039_zpid/
1345,507 Sabine St APT 601,78701,2,2,859100,24,2,2020,https://www.zillow.com/homedetails/507-Sabine-St-APT-601-Austin-TX-78701/299248216_zpid/
1346,5100 Edenbourgh Ln,78754,3,2,351900,10,9,2021,https://www.zillow.com/homedetails/5100-Edenbourgh-Ln-Austin-TX-78754/29415654_zpid/
1347,5113 Greenheart Dr,78745,3,2,719800,29,1,2021,https://www.zillow.com/homedetails/5113-Greenheart-Dr-Austin-TX-78745/29487998_zpid/
1348,5127 Meadow Creek Dr,78745,3,2,689100,8,1,2021,https://www.zillow.com/homedetails/5127-Meadow-Creek-Dr-Austin-TX-78745/29485867_zpid/
1349,5204 Creekline Dr,78745,4,2,776700,25,2,2022,https://www.zillow.com/homedetails/5204-Creekline-Dr-Austin-TX-78745/29487991_zpid/
1350,5208 English Glade Dr,78724,4,2,569900,22,4,2021,https://www.zillow.com/homedetails/5208-English-Glade-Dr-Austin-TX-78724/80098038_zpid/
1351,5215 Fossil Rim Rd,78746,3,2,2001700,3,12,2021,https://www.zillow.com/homedetails/5215-Fossil-Rim-Rd-Austin-TX-78746/29341304_zpid/
1352,5320 Tower Trl,78723,3,2,633100,27,4,2021,https://www.zillow.com/homedetails/5320-Tower-Trl-Austin-TX-78723/80092129_zpid/
1353,5403 S Hearsey Dr,78744,,2,492900,24,8,2021,https://www.zillow.com/homedetails/5403-S-Hearsey-Dr-Austin-TX-78744/2096236671_zpid/
1354,5404 Branding Chase St,78727,4,2,1445500,21,10,2021,https://www.zillow.com/homedetails/5404-Branding-Chase-St-Austin-TX-78727/29441958_zpid/
1355,5410 Palo Blanco Ln,78744,3,2,250000,31,3,2021,https://www.zillow.com/homedetails/5410-Palo-Blanco-Ln-Austin-TX-78744/29466661_zpid/
1356,5505 Blue Bird Ln #2,78745,2,2,,19,1,2022,https://www.zillow.com/homedetails/5505-Blue-Bird-Ln-2-Austin-TX-78745/2066653045_zpid/
1357,5507 Hibiscus Dr,78724,3,2,468400,16,1,2021,https://www.zillow.com/homedetails/5507-Hibiscus-Dr-Austin-TX-78724/29410310_zpid/
1358,5508 Nelson Oaks Dr,78724,3,2,488400,3,9,2021,https://www.zillow.com/homedetails/5508-Nelson-Oaks-Dr-Austin-TX-78724/83819914_zpid/
1359,5512 Nelson Oaks Dr,78724,3,2,507000,13,5,2021,https://www.zillow.com/homedetails/5512-Nelson-Oaks-Dr-Austin-TX-78724/83818458_zpid/
1360,5512 Porsche Ln,78749,3,2,580800,22,11,2021,https://www.zillow.com/homedetails/5512-Porsche-Ln-Austin-TX-78749/29479021_zpid/
1361,5606 Honey Dew Ter,78749,3,2,657300,14,6,2021,https://www.zillow.com/homedetails/5606-Honey-Dew-Ter-Austin-TX-78749/29479066_zpid/
1362,5607 Creek Btm #B,78731,3,2,812800,20,8,2021,https://www.zillow.com/homedetails/5607-Creek-Btm-B-Austin-TX-78731/63834656_zpid/
1363,5629 Pinon Vista Dr,78724,3,2,305900,16,9,2021,https://www.zillow.com/homedetails/5629-Pinon-Vista-Dr-Austin-TX-78724/29397040_zpid/
1364,5700 Signal Point,78724,4,2,399900,29,7,2021,https://www.zillow.com/homedetails/5700-Signal-Point-Austin-TX-78724/29396961_zpid/
1365,5801 Whitebrook Dr,78724,3,2,489800,21,7,2021,https://www.zillow.com/homedetails/5801-Whitebrook-Dr-Austin-TX-78724/29402780_zpid/
1366,5808 Avery Island Ave,78727,3,2,500000,17,9,2021,https://www.zillow.com/homedetails/5808-Avery-Island-Ave-Austin-TX-78727/29445937_zpid/
1367,5808 Cannon Mountain Dr,78749,3,2,675000,20,7,2021,https://www.zillow.com/homedetails/5808-Cannon-Mountain-Dr-Austin-TX-78749/29483902_zpid/
1368,5809 Berriweather Dr,78724,4,2,414400,29,9,2021,https://www.zillow.com/homedetails/5809-Berriweather-Dr-Austin-TX-78724/2070126057_zpid/
1369,5909 Wagon Bnd,78744,3,2,369800,10,9,2021,https://www.zillow.com/homedetails/5909-Wagon-Bnd-Austin-TX-78744/29500387_zpid/
1370,5947 Kevin Kelly Pl,78727,3,2,489100,8,1,2021,https://www.zillow.com/homedetails/5947-Kevin-Kelly-Pl-Austin-TX-78727/29447247_zpid/
1371,6005 Avery Island Ave,78727,3,2,541200,30,11,2021,https://www.zillow.com/homedetails/6005-Avery-Island-Ave-Austin-TX-78727/29373690_zpid/
1372,603 Davis St APT 1702,78701,2,2,799000,23,12,2019,https://www.zillow.com/homedetails/603-Davis-St-APT-1702-Austin-TX-78701/80093731_zpid/
1373,603 Davis St APT 703,78701,2,2,,31,8,2020,https://www.zillow.com/homedetails/603-Davis-St-APT-703-Austin-TX-78701/80096242_zpid/
1374,606 Hatton Hill Ct,78725,3,2,,28,3,2022,https://www.zillow.com/homedetails/606-Hatton-Hill-Ct-Austin-TX-78725/2066393405_zpid/
1375,607 Chaparral Rd,78745,3,2,855400,29,4,2021,https://www.zillow.com/homedetails/607-Chaparral-Rd-Austin-TX-78745/58316283_zpid/
1376,608 Brookhaven Trl,78746,4,2,5300000,16,4,2021,https://www.zillow.com/homedetails/608-Brookhaven-Trl-Austin-TX-78746/29330411_zpid/
1377,6104 Bridlington Cir,78745,4,2,705100,15,1,2021,https://www.zillow.com/homedetails/6104-Bridlington-Cir-Austin-TX-78745/58314584_zpid/
1378,610 W Crestland Dr,78752,3,2,879500,31,3,2021,https://www.zillow.com/homedetails/610-W-Crestland-Dr-Austin-TX-78752/29417315_zpid/
1379,6130 Mordred Ln,78739,4,2,540000,23,2,2021,https://www.zillow.com/homedetails/6130-Mordred-Ln-Austin-TX-78739/29508026_zpid/
1380,6205 Clarion Dr,78749,3,2,742100,8,3,2021,https://www.zillow.com/homedetails/6205-Clarion-Dr-Austin-TX-78749/29491629_zpid/
1381,6207 Hogan Ave,78741,3,2,422300,12,8,2021,https://www.zillow.com/homedetails/6207-Hogan-Ave-Austin-TX-78741/29462018_zpid/
1382,6220 Blarwood Dr,78745,4,2,628600,24,11,2021,https://www.zillow.com/homedetails/6220-Blarwood-Dr-Austin-TX-78745/58314644_zpid/
1383,6306 Weeks Cv,78727,3,2,546900,19,10,2021,https://www.zillow.com/homedetails/6306-Weeks-Cv-Austin-TX-78727/29375521_zpid/
1384,6317 Salcon Cliff Dr,78749,4,2,1165900,3,5,2021,https://www.zillow.com/homedetails/6317-Salcon-Cliff-Dr-Austin-TX-78749/29496903_zpid/
1385,6402 Shoal Creek Dr W,78757,3,2,1044100,22,10,2021,https://www.zillow.com/homedetails/6402-Shoal-Creek-Dr-W-Austin-TX-78757/29416834_zpid/
1386,6409 Crowley Trl,78729,3,2,611800,14,6,2021,https://www.zillow.com/homedetails/6409-Crowley-Trl-Austin-TX-78729/29377221_zpid/
1387,6411 Earlyway Dr,78749,3,2,627000,25,2,2022,https://www.zillow.com/homedetails/6411-Earlyway-Dr-Austin-TX-78749/29480988_zpid/
1388,6601 Adair Dr,78754,3,2,458200,20,8,2021,https://www.zillow.com/homedetails/6601-Adair-Dr-Austin-TX-78754/121657986_zpid/
1389,6601 Clubway Ln,78745,2,2,400000,22,10,2021,https://www.zillow.com/homedetails/6601-Clubway-Ln-Austin-TX-78745/29493180_zpid/
1390,6705 Covered Bridge Dr UNIT 39,78736,2,2,,21,1,2022,https://www.zillow.com/homedetails/6705-Covered-Bridge-Dr-UNIT-39-Austin-TX-78736/70356862_zpid/
1391,6713 Dubuque Ln,78723,3,2,714100,30,11,2021,https://www.zillow.com/homedetails/6713-Dubuque-Ln-Austin-TX-78723/29408517_zpid/
1392,6809 Crestone Rd,78744,4,2,526600,10,2,2021,https://www.zillow.com/homedetails/6809-Crestone-Rd-Austin-TX-78744/119627032_zpid/
1393,6809 Trevone Path,78754,3,2,474000,29,3,2021,https://www.zillow.com/homedetails/6809-Trevone-Path-Austin-TX-78754/119631059_zpid/
1394,6810 Deatonhill Dr APT 1102,78745,2,2,,9,7,2021,https://www.zillow.com/homedetails/6810-Deatonhill-Dr-APT-1102-Austin-TX-78745/89549357_zpid/
1395,6812 Tulloch Way,78754,4,2,590800,14,5,2021,https://www.zillow.com/homedetails/6812-Tulloch-Way-Austin-TX-78754/70338732_zpid/
1396,6900 Gaur Dr,78749,4,2,780100,29,7,2021,https://www.zillow.com/homedetails/6900-Gaur-Dr-Austin-TX-78749/29492006_zpid/
1397,6909 Ranchito Dr,78744,3,2,522400,16,7,2021,https://www.zillow.com/homedetails/6909-Ranchito-Dr-Austin-TX-78744/145656911_zpid/
1398,7001 Circle South Rd,78745,3,2,616800,25,8,2021,https://www.zillow.com/homedetails/7001-Circle-South-Rd-Austin-TX-78745/58316268_zpid/
1399,700 Nelray Blvd APT 105,78751,2,2,,1,4,2022,https://www.zillow.com/homedetails/700-Nelray-Blvd-APT-105-Austin-TX-78751/2121686825_zpid/
1400,70 Rainey St #1504,78701,2,2,1469700,30,6,2020,https://www.zillow.com/homedetails/70-Rainey-St-1504-Austin-TX-78701/306644427_zpid/
1401,70 Rainey St #1901,78701,2,2,1770100,30,11,2020,https://www.zillow.com/homedetails/70-Rainey-St-1901-Austin-TX-78701/306644661_zpid/
1402,710 Colorado St APT 10H,78701,2,2,699000,22,4,2021,https://www.zillow.com/homedetails/710-Colorado-St-APT-10H-Austin-TX-78701/2071452050_zpid/
1403,710 Colorado St APT 10J,78701,2,2,844800,18,11,2021,https://www.zillow.com/homedetails/710-Colorado-St-APT-10J-Austin-TX-78701/2070797812_zpid/
1404,710 Colorado St APT 5I,78701,2,2,580000,16,6,2020,https://www.zillow.com/homedetails/710-Colorado-St-APT-5I-Austin-TX-78701/2080741139_zpid/
1405,711 Decker Prairie Dr,78748,3,2,385000,21,7,2021,https://www.zillow.com/homedetails/711-Decker-Prairie-Dr-Austin-TX-78748/29513875_zpid/
1406,711 W 26th St APT 601,78705,2,2,565100,25,3,2021,https://www.zillow.com/homedetails/711-W-26th-St-APT-601-Austin-TX-78705/64464250_zpid/
1407,7200 Twisted Oaks Dr,78745,3,2,150000,7,5,2021,https://www.zillow.com/homedetails/7200-Twisted-Oaks-Dr-Austin-TX-78745/29493611_zpid/
1408,7204 Gunnison Pass,78724,3,2,615000,29,11,2021,https://www.zillow.com/homedetails/7204-Gunnison-Pass-Austin-TX-78724/29404627_zpid/
1409,7204 N Ute Trl,78729,3,2,692600,4,1,2021,https://www.zillow.com/homedetails/7204-N-Ute-Trl-Austin-TX-78729/29557412_zpid/
1410,7229 Ritchie Dr,78724,3,2,439900,14,5,2021,https://www.zillow.com/homedetails/7229-Ritchie-Dr-Austin-TX-78724/70326898_zpid/
1411,7300 Whispering Oaks Dr,78745,2,2,599900,23,7,2021,https://www.zillow.com/homedetails/7300-Whispering-Oaks-Dr-Austin-TX-78745/29493493_zpid/
1412,7310 Eastcrest Dr,78752,2,2,600900,14,7,2021,https://www.zillow.com/homedetails/7310-Eastcrest-Dr-Austin-TX-78752/2070932936_zpid/
1413,7324 Muffin Dr,78724,3,2,470100,7,9,2021,https://www.zillow.com/homedetails/7324-Muffin-Dr-Austin-TX-78724/29404808_zpid/
1414,7401 Gaines Mill Ln,78745,3,2,614999,31,8,2021,https://www.zillow.com/homedetails/7401-Gaines-Mill-Ln-Austin-TX-78745/29497924_zpid/
1415,7403 Trede Cv,78745,3,2,753700,8,11,2021,https://www.zillow.com/homedetails/7403-Trede-Cv-Austin-TX-78745/29497903_zpid/
1416,7405 Montezuma St,78744,3,2,532700,10,6,2021,https://www.zillow.com/homedetails/7405-Montezuma-St-Austin-TX-78744/79977236_zpid/
1417,7501 Rio Pass,78724,3,2,499000,19,4,2021,https://www.zillow.com/homedetails/7501-Rio-Pass-Austin-TX-78724/29410256_zpid/
1418,7519 Elderberry Dr,78745,3,2,477400,30,12,2021,https://www.zillow.com/homedetails/7519-Elderberry-Dr-Austin-TX-78745/29501388_zpid/
1419,7521 Cedar Edge Dr,78744,3,2,421100,1,3,2021,https://www.zillow.com/homedetails/7521-Cedar-Edge-Dr-Austin-TX-78744/83816298_zpid/
1420,7616 Providence Ave,78752,4,2,317000,30,4,2021,https://www.zillow.com/homedetails/7616-Providence-Ave-Austin-TX-78752/29415492_zpid/
1421,7802 Wykeham Dr,78749,4,2,625000,1,4,2021,https://www.zillow.com/homedetails/7802-Wykeham-Dr-Austin-TX-78749/29490618_zpid/
1422,7902 Finch Trl,78745,4,2,674900,24,2,2021,https://www.zillow.com/homedetails/7902-Finch-Trl-Austin-TX-78745/29498218_zpid/
1423,7904 Clydesdale Dr,78745,3,2,670800,30,4,2021,https://www.zillow.com/homedetails/7904-Clydesdale-Dr-Austin-TX-78745/29495315_zpid/
1424,7915 Cahill Dr,78729,4,2,548100,13,9,2021,https://www.zillow.com/homedetails/7915-Cahill-Dr-Austin-TX-78729/29547801_zpid/
1425,800 Embassy Dr APT 525,78702,2,2,,3,8,2021,https://www.zillow.com/homedetails/800-Embassy-Dr-APT-525-Austin-TX-78702/305425795_zpid/
1426,801 Finley Dr,78731,3,2,413745,27,4,2022,https://www.zillow.com/homedetails/801-Finley-Dr-Austin-TX-78731/2063636928_zpid/
1427,806 W 24th St APT 204,78705,2,2,394000,28,7,2021,https://www.zillow.com/homedetails/806-W-24th-St-APT-204-Austin-TX-78705/29394242_zpid/
1428,8104 Linnie Ln,78724,3,2,473500,22,2,2022,https://www.zillow.com/homedetails/8104-Linnie-Ln-Austin-TX-78724/331623234_zpid/
1429,8107 Foxhound Trl,78729,3,2,516200,30,11,2021,https://www.zillow.com/homedetails/8107-Foxhound-Trl-Austin-TX-78729/29574573_zpid/
1430,8109 Cattle Dr,78749,3,2,524200,29,10,2021,https://www.zillow.com/homedetails/8109-Cattle-Dr-Austin-TX-78749/29495698_zpid/
1431,811 Sussex Dr,78745,3,2,545500,6,7,2021,https://www.zillow.com/homedetails/811-Sussex-Dr-Austin-TX-78745/29487800_zpid/
1432,813 Great Britain Blvd,78748,3,2,399900,16,6,2021,https://www.zillow.com/homedetails/813-Great-Britain-Blvd-Austin-TX-78748/29505892_zpid/
1433,816 Red Tails Dr,78725,3,2,409300,31,12,2021,https://www.zillow.com/homedetails/816-Red-Tails-Dr-Austin-TX-78725/241932866_zpid/
1434,8501 Slant Oak Dr,78729,4,2,473600,10,11,2021,https://www.zillow.com/homedetails/8501-Slant-Oak-Dr-Austin-TX-78729/29557587_zpid/
1435,8509 E Potosi Cv,78717,4,2,850100,7,1,2022,https://www.zillow.com/homedetails/8509-E-Potosi-Cv-Austin-TX-78717/29548139_zpid/
1436,8512 Kansas River Dr,78745,3,2,464900,24,8,2021,https://www.zillow.com/homedetails/8512-Kansas-River-Dr-Austin-TX-78745/58316387_zpid/
1437,8525 Maine Dr,78758,3,2,450500,16,11,2021,https://www.zillow.com/homedetails/8525-Maine-Dr-Austin-TX-78758/29423616_zpid/
1438,8605 Ipswich Bay Dr,78747,3,2,504700,1,9,2021,https://www.zillow.com/homedetails/8605-Ipswich-Bay-Dr-Austin-TX-78747/83126088_zpid/
1439,9012 Francia Trl,78748,3,2,424900,18,10,2021,https://www.zillow.com/homedetails/9012-Francia-Trl-Austin-TX-78748/29511061_zpid/
1440,9013 Palace Pkwy,78748,2,2,474600,28,11,2021,https://www.zillow.com/homedetails/9013-Palace-Pkwy-Austin-TX-78748/29509422_zpid/
1441,9018 Marthas Dr,78717,3,2,630400,10,9,2021,https://www.zillow.com/homedetails/9018-Marthas-Dr-Austin-TX-78717/29577463_zpid/
1442,907 Sandhill Branch Dr,78748,3,2,636900,16,3,2021,https://www.zillow.com/homedetails/907-Sandhill-Branch-Dr-Austin-TX-78748/305426715_zpid/
1443,9103 Brimstone Ln,78717,4,2,664100,4,6,2021,https://www.zillow.com/homedetails/9103-Brimstone-Ln-Austin-TX-78717/29577414_zpid/
1444,9202 Amanda Dr,78729,3,2,817500,5,2,2021,https://www.zillow.com/homedetails/9202-Amanda-Dr-Austin-TX-78729/29572534_zpid/
1445,9203 United Kingdom Dr,78748,3,2,485000,5,3,2021,https://www.zillow.com/homedetails/9203-United-Kingdom-Dr-Austin-TX-78748/29509378_zpid/
1446,9305 Bentley Garner Ln,78748,3,2,594700,23,2,2021,https://www.zillow.com/homedetails/9305-Bentley-Garner-Ln-Austin-TX-78748/119617598_zpid/
1447,935 La Posada Dr #227,78752,2,2,350200,18,6,2021,https://www.zillow.com/homedetails/935-La-Posada-Dr-227-Austin-TX-78752/241935531_zpid/
1448,9404 Shady Oaks Dr,78729,4,2,499200,11,12,2020,https://www.zillow.com/homedetails/9404-Shady-Oaks-Dr-Austin-TX-78729/29567700_zpid/
1449,9503 Woodshire Dr,78748,4,2,778700,17,8,2021,https://www.zillow.com/homedetails/9503-Woodshire-Dr-Austin-TX-78748/29509525_zpid/
1450,9517 China Rose Dr,78724,3,2,465700,11,1,2022,https://www.zillow.com/homedetails/9517-China-Rose-Dr-Austin-TX-78724/111371225_zpid/
1451,9704 Derecho Dr,78737,3,2,980200,1,6,2020,https://www.zillow.com/homedetails/9704-Derecho-Dr-Austin-TX-78737/29489015_zpid/
1452,9904 Buffalo Lake Ln,78747,3,2,456600,18,11,2021,https://www.zillow.com/homedetails/9904-Buffalo-Lake-Ln-Austin-TX-78747/63345802_zpid/
1453,1411 Gracy Farms Ln APT 114,78758,3,2,355200,7,1,2022,https://www.zillow.com/homedetails/1411-Gracy-Farms-Ln-APT-114-Austin-TX-78758/29436314_zpid/
1454,1908 Travis Heights Blvd #A,78704,3,2,1241200,8,1,2021,https://www.zillow.com/homedetails/1908-Travis-Heights-Blvd-A-Austin-TX-78704/145658373_zpid/
1455,1932 Creole Dr,78727,3,2,630700,27,10,2021,https://www.zillow.com/homedetails/1932-Creole-Dr-Austin-TX-78727/29445371_zpid/
1456,2610 Westover Rd,78703,3,2,1734800,29,4,2022,https://www.zillow.com/homedetails/2610-Westover-Rd-Austin-TX-78703/29337317_zpid/
1457,4509 Felicity Ln,78725,3,2,370400,7,1,2022,https://www.zillow.com/homedetails/4509-Felicity-Ln-Austin-TX-78725/70356256_zpid/
1458,4611 Sidereal Dr,78727,3,2,682200,29,4,2022,https://www.zillow.com/homedetails/4611-Sidereal-Dr-Austin-TX-78727/29444360_zpid/
1459,5213 Krueger Ln,78723,3,2,482200,8,9,2021,https://www.zillow.com/homedetails/5213-Krueger-Ln-Austin-TX-78723/80104122_zpid/
1460,6713 W Gate Blvd #A,78745,3,2,,21,9,2021,https://www.zillow.com/homedetails/6713-W-Gate-Blvd-A-Austin-TX-78745/2086301474_zpid/
1461,7210 Cordelia Ct,78741,3,2,633600,10,6,2021,https://www.zillow.com/homedetails/7210-Cordelia-Ct-Austin-TX-78741/124837024_zpid/
1462,10000 Richelieu Rd,78750,3,2,768100,25,2,2022,https://www.zillow.com/homedetails/10000-Richelieu-Rd-Austin-TX-78750/29374439_zpid/
1463,10001 Clemente Cir,78737,3,2,979400,18,10,2021,https://www.zillow.com/homedetails/10001-Clemente-Cir-Austin-TX-78737/64617994_zpid/
1464,10002 Chukar Cir,78758,4,2,773000,2,9,2021,https://www.zillow.com/homedetails/10002-Chukar-Cir-Austin-TX-78758/29431214_zpid/
1465,10002 Faylin Dr,78753,3,2,543600,18,8,2021,https://www.zillow.com/homedetails/10002-Faylin-Dr-Austin-TX-78753/29425859_zpid/
1466,10007 Blue Martin Dr,78750,4,2,553100,25,2,2021,https://www.zillow.com/homedetails/10007-Blue-Martin-Dr-Austin-TX-78750/29568780_zpid/
1467,10008 Epic Knoll Dr,78747,4,2,526100,27,8,2021,https://www.zillow.com/homedetails/10008-Epic-Knoll-Dr-Austin-TX-78747/124844484_zpid/
1468,10009 Derringer Trl,78753,2,2,545600,10,3,2021,https://www.zillow.com/homedetails/10009-Derringer-Trl-Austin-TX-78753/29427954_zpid/
1469,1000 E 38th St,78705,2,2,680200,5,11,2021,https://www.zillow.com/homedetails/1000-E-38th-St-Austin-TX-78705/29398397_zpid/
1470,1000 Huntridge Dr,78758,2,2,624800,31,8,2021,https://www.zillow.com/homedetails/1000-Huntridge-Dr-Austin-TX-78758/58304323_zpid/
1471,1000 Liberty Park Dr APT 209,78746,2,2,763900,9,12,2021,https://www.zillow.com/homedetails/1000-Liberty-Park-Dr-APT-209-Austin-TX-78746/29325794_zpid/
1472,1000 Liberty Park Dr APT 402,78746,2,2,839500,3,3,2022,https://www.zillow.com/homedetails/1000-Liberty-Park-Dr-APT-402-Austin-TX-78746/29325803_zpid/
1473,1000 Liberty Park Dr APT 508,78746,2,2,693600,15,6,2021,https://www.zillow.com/homedetails/1000-Liberty-Park-Dr-APT-508-Austin-TX-78746/62604767_zpid/
1474,1000 Solano Dr,78750,3,2,396100,16,9,2021,https://www.zillow.com/homedetails/1000-Solano-Dr-Austin-TX-78750/29566358_zpid/
1475,1000 Winifred Dr,78748,3,2,704800,9,3,2021,https://www.zillow.com/homedetails/1000-Winifred-Dr-Austin-TX-78748/331630211_zpid/
1476,1001 Paul Thomas Dr,78717,2,2,562600,30,12,2021,https://www.zillow.com/homedetails/1001-Paul-Thomas-Dr-Austin-TX-78717/121720079_zpid/
1477,1003 Catalpa St,78702,3,2,1308900,7,1,2022,https://www.zillow.com/homedetails/1003-Catalpa-St-Austin-TX-78702/29387508_zpid/
1478,1003 E 3rd St,78702,2,2,1128300,11,8,2020,https://www.zillow.com/homedetails/1003-E-3rd-St-Austin-TX-78702/29384254_zpid/
1479,1003 Ewing Cir,78746,3,2,2558600,17,5,2021,https://www.zillow.com/homedetails/1003-Ewing-Cir-Austin-TX-78746/29326596_zpid/
1480,1003 Hatteras Dr,78753,3,2,481500,10,5,2021,https://www.zillow.com/homedetails/1003-Hatteras-Dr-Austin-TX-78753/29438895_zpid/
1481,1003 Muse Ln #21,78702,2,2,607000,25,8,2021,https://www.zillow.com/homedetails/1003-Muse-Ln-21-Austin-TX-78702/145655374_zpid/
1482,1005 Markham Ln APT B,78753,2,2,370700,15,3,2021,https://www.zillow.com/homedetails/1005-Markham-Ln-APT-B-Austin-TX-78753/29436806_zpid/
1483,1005 Muse Ln #20,78702,1,2,,27,7,2021,https://www.zillow.com/homedetails/1005-Muse-Ln-20-Austin-TX-78702/2099540836_zpid/
1484,1005 Nile St,78702,4,2,1033900,15,4,2021,https://www.zillow.com/homedetails/1005-Nile-St-Austin-TX-78702/29386215_zpid/
1485,1005 W Monroe St,78704,3,2,1309800,12,2,2021,https://www.zillow.com/homedetails/1005-W-Monroe-St-Austin-TX-78704/29321876_zpid/
1486,1006 Newport Ave,78753,3,2,455500,26,4,2021,https://www.zillow.com/homedetails/1006-Newport-Ave-Austin-TX-78753/29429229_zpid/
1487,1007 Glen Oaks Ct,78702,3,2,764500,12,7,2021,https://www.zillow.com/homedetails/1007-Glen-Oaks-Ct-Austin-TX-78702/29386243_zpid/
1488,1007 Muse Ln #19,78702,1,2,670000,26,4,2021,https://www.zillow.com/homedetails/1007-Muse-Ln-19-Austin-TX-78702/145653788_zpid/
1489,1008 Kavanagh Dr,78748,3,2,521200,18,10,2021,https://www.zillow.com/homedetails/1008-Kavanagh-Dr-Austin-TX-78748/29506043_zpid/
1490,1009 Tensley Trl,78748,3,2,413900,31,8,2021,https://www.zillow.com/homedetails/1009-Tensley-Trl-Austin-TX-78748/29509393_zpid/
1491,10100 Dobbin Dr,78748,3,2,627400,30,11,2021,https://www.zillow.com/homedetails/10100-Dobbin-Dr-Austin-TX-78748/29507608_zpid/
1492,10100 Warrington Cv,78753,3,2,560900,29,7,2021,https://www.zillow.com/homedetails/10100-Warrington-Cv-Austin-TX-78753/29425680_zpid/
1493,10102 Alcott Cv,78748,3,2,616000,15,7,2021,https://www.zillow.com/homedetails/10102-Alcott-Cv-Austin-TX-78748/29510136_zpid/
1494,10103 Chukar Cir,78758,4,2,769200,8,4,2022,https://www.zillow.com/homedetails/10103-Chukar-Cir-Austin-TX-78758/29431082_zpid/
1495,10103 Ivanhoe Trl,78748,3,2,592700,28,6,2021,https://www.zillow.com/homedetails/10103-Ivanhoe-Trl-Austin-TX-78748/29510349_zpid/
1496,10103 Woodland Village Dr,78750,3,2,475000,26,10,2021,https://www.zillow.com/homedetails/10103-Woodland-Village-Dr-Austin-TX-78750/29568904_zpid/
1497,10104 Osprey Ct,78750,4,2,485500,7,3,2022,https://www.zillow.com/homedetails/10104-Osprey-Ct-Austin-TX-78750/29568853_zpid/
1498,10105 Big Thicket Dr,78747,4,2,530000,29,12,2021,https://www.zillow.com/homedetails/10105-Big-Thicket-Dr-Austin-TX-78747/70357507_zpid/
1499,10106 Woodland Village Dr,78750,3,2,684500,10,3,2021,https://www.zillow.com/homedetails/10106-Woodland-Village-Dr-Austin-TX-78750/29568868_zpid/
1500,10108 Crescendo Ln,78747,4,2,497900,20,4,2021,https://www.zillow.com/homedetails/10108-Crescendo-Ln-Austin-TX-78747/241933350_zpid/
1501,1010 W 23rd St APT 4,78705,2,2,269000,28,10,2021,https://www.zillow.com/homedetails/1010-W-23rd-St-APT-4-Austin-TX-78705/2085453638_zpid/
1502,10113 Willfield Dr,78753,4,2,542900,13,12,2021,https://www.zillow.com/homedetails/10113-Willfield-Dr-Austin-TX-78753/29425910_zpid/
1503,10115 Hidden Meadow Dr,78750,3,2,811000,27,12,2021,https://www.zillow.com/homedetails/10115-Hidden-Meadow-Dr-Austin-TX-78750/29557048_zpid/
1504,1011 Brodie St APT 13,78704,3,2,709300,6,1,2021,https://www.zillow.com/homedetails/1011-Brodie-St-APT-13-Austin-TX-78704/58312111_zpid/
1505,1011 Brodie St APT 26,78704,2,2,738400,9,11,2021,https://www.zillow.com/homedetails/1011-Brodie-St-APT-26-Austin-TX-78704/62607776_zpid/
1506,1011 Strickland Dr,78748,3,2,581700,23,8,2021,https://www.zillow.com/homedetails/1011-Strickland-Dr-Austin-TX-78748/29503766_zpid/
1507,10128 Wading Pool Path,78748,3,2,513500,30,8,2021,https://www.zillow.com/homedetails/10128-Wading-Pool-Path-Austin-TX-78748/89546174_zpid/
1508,1013 Markham Ln APT A,78753,3,2,406700,29,3,2021,https://www.zillow.com/homedetails/1013-Markham-Ln-APT-A-Austin-TX-78753/29436813_zpid/
