,street_address,zipcode,num_bedrooms,num_bathrooms,home_price,latest_saledate,latest_salemonth,latest_saleyear,URL
39,2509 Willow St,78702,2,1,981900,2,9,2020,https://www.zillow.com/homedetails/2509-Willow-St-Austin-TX-78702/29381608_zpid/
40,2513 E 9th St,78702,2,1,624999,30,7,2020,https://www.zillow.com/homedetails/2513-E-9th-St-Austin-TX-78702/29385447_zpid/
41,2619 W 45th St,78731,2,1,832700,17,5,2021,https://www.zillow.com/homedetails/2619-W-45th-St-Austin-TX-78731/29410541_zpid/
42,300 Bowie St APT 1502,78703,1,1,530000,31,3,2021,https://www.zillow.com/homedetails/300-Bowie-St-APT-1502-Austin-TX-78703/83815502_zpid/
43,3014 E 14th St,78702,3,1,320000,26,10,2020,https://www.zillow.com/homedetails/3014-E-14th-St-Austin-TX-78702/29390015_zpid/
44,305 E Croslin St,78752,2,1,,23,9,2021,https://www.zillow.com/homedetails/305-E-Croslin-St-Austin-TX-78752/29415486_zpid/
45,3101 Govalle Ave #214,78702,1,1,,24,2,2021,https://www.zillow.com/homedetails/3101-Govalle-Ave-214-Austin-TX-78702/2077921715_zpid/
46,3101 Govalle Ave #220,78702,1,1,310000,18,12,2020,https://www.zillow.com/homedetails/3101-Govalle-Ave-220-Austin-TX-78702/2079934021_zpid/
47,3115 Helms St APT 315,78705,1,1,316200,4,9,2020,https://www.zillow.com/homedetails/3115-Helms-St-APT-315-Austin-TX-78705/29397381_zpid/
48,311 W 5th St UNIT 806,78701,1,1,525000,10,7,2019,https://www.zillow.com/homedetails/311-W-5th-St-UNIT-806-Austin-TX-78701/60136972_zpid/
49,3201 Bengston St,78702,3,1,679800,5,1,2022,https://www.zillow.com/homedetails/3201-Bengston-St-Austin-TX-78702/29386949_zpid/
50,3210 Larry Ln,78722,2,1,682900,27,9,2021,https://www.zillow.com/homedetails/3210-Larry-Ln-Austin-TX-78722/29393225_zpid/
51,3212 Red River St APT 208,78705,1,1,,30,6,2021,https://www.zillow.com/homedetails/3212-Red-River-St-APT-208-Austin-TX-78705/2087568147_zpid/
52,3507 Oak Springs Dr #2,78721,1,1,,24,3,2022,https://www.zillow.com/homedetails/3507-Oak-Springs-Dr-2-Austin-TX-78721/2067814304_zpid/
