ID,Address,SFT,Beds,Baths,Price
4,"3701 Turtle Creek Blvd #5BF Dallas, TX 75219",832 sqft,1bd,1ba,"$235,000"
5,"4527 Bluffview Blvd Dallas, TX 75209","4,573 sqft (on 0.47 acres)",3bd,5ba,"$4,950,000"
6,"2827 S Denley Dr Dallas, TX 75216","1,321 sqft (on 0.38 acres)",1bd,2ba,"$278,349"
7,"8410 Timberbrook Ln Dallas, TX 75249","1,852 sqft",4bd,3ba,"$325,000"
8,"Abode @ White Rock Dallas, TX 75228","2,398 sqft",3bd,4ba,"$819,000+"
9,"2967 50th St Dallas, TX 75216","1,248 sqft",3bd,1ba,"$139,000"
10,"2425 E Overton Rd Dallas, TX 75216",992 sqft,3bd,2ba,"$139,000"
11,"1603 Caldwell St Dallas, TX 75223","1,090 sqft",3bd,2ba,"$229,000"
12,"4111 Cole Ave #21 Dallas, TX 75204","1,090 sqft",2bd,2ba,"$345,000"
13,"623 Mount Auburn Ave Dallas, TX 75223","1,110 sqft",3bd,2ba,"$250,000"
14,"Bleu Ciel Living Dallas, TX 75201","2,231 sqft",3bd,4ba,"$1,913,000+"
15,"4321 Frank St Dallas, TX 75210",984 sqft,2bd,2ba,"$150,000"
16,"2422 Grafton Ave Dallas, TX 75211","1,124 sqft",2bd,1ba,"$315,000"
17,"6329 Crestmont Dr Dallas, TX 75214","2,371 sqft",4bd,3ba,"$779,500"
18,"5822 Cary Ave Dallas, TX 75227","1,500 sqft (on 0.25 acres)",5bd,2ba,"$269,000"
19,"Emory Park Dallas, TX 75212","1,750 sqft",3bd,4ba,"$529,000+"
20,"2278 Red Chute Dr Dallas, TX 75253","1,840 sqft",4bd,2ba,"$324,999"
21,"1637 Duet Dr Dallas, TX 75241","1,963 sqft",4bd,3ba,"$279,000"
22,"1218 Wilbur St Dallas, TX 75224","1,569 sqft",3bd,2ba,"$350,000"
23,"108 S Edgefield Ave Dallas, TX 75208",NA,NA,NA,"$425,000"
24,"Merion at Midtown Park Dallas, TX 75231","1,885 sqft",3bd,3ba,"$646,900+"
25,"10315 Springhaven Dr Dallas, TX 75217","1,384 sqft",3bd,2ba,"$239,900"
26,"3731 Dildock St Dallas, TX 75215",NA,NA,NA,"$59,000"
27,"106 S Edgefield Ave Dallas, TX 75208",NA,NA,NA,"$425,000"
28,"2555 N Pearl St #503 Dallas, TX 75201","1,750 sqft",2bd,3ba,"$1,495,000"
29,"3714 Dildock St Dallas, TX 75215",NA,NA,NA,"$59,000"
30,"3225 Turtle Creek Blvd #1605 Dallas, TX 75219",712 sqft,1bd,1ba,"$275,000"
31,"3022 Southland St Dallas, TX 75215",NA,NA,NA,"$79,000"
32,"1805 Shelmire Dr Dallas, TX 75224","2,194 sqft (on 0.28 acres)",3bd,3ba,"$600,000"
33,"6418 S Lancaster Rd Dallas, TX 75241",NA,NA,NA,"$65,000"
34,"1905 Yucca Dr Dallas, TX 75217","2,111 sqft (on 0.26 acres)",3bd,3ba,"$259,999"
35,"1407 Tranquilla Dr Dallas, TX 75218","4,150 sqft (on 0.38 acres)",4bd,5ba,"$1,495,000"
36,"1904 Joan Dr Dallas, TX 75217","1,472 sqft (on 0.26 acres)",3bd,2ba,"$175,000"
37,"1021 E 11th St Dallas, TX 75203",NA,NA,NA,"$175,000"
38,"4308 Westway Ave Highland Park, TX 75205","3,791 sqft (on 0.29 acres)",4bd,4ba,"$4,000,000"
39,"8349 Kingsfield Rd Dallas, TX 75217","1,000 sqft (on 0.25 acres)",3bd,1ba,"$215,000"
0,"2107 Annex Ave Dallas, TX 75204","2,380 sqft",3bd,3ba,"$850,000"
1,"4736 Twin Post Rd Dallas, TX 75244","3,228 sqft (on 0.37 acres)",5bd,3ba,"$695,000"
2,"5301 Bourquin St Dallas, TX 75210","1,136 sqft",3bd,2ba,"$199,900"
3,"2371 Fenestra Dr Dallas, TX 75228","2,772 sqft",3bd,2ba,"$538,000"
4,"6723 Bradbury Ln Dallas, TX 75230","2,875 sqft (on 0.37 acres)",4bd,3ba,"$975,000"
5,"6663 Aintree Cir Dallas, TX 75214","1,463 sqft",3bd,2ba,"$475,000"
6,"7150 Baxtershire Dr Dallas, TX 75230","3,591 sqft (on 0.39 acres)",4bd,4ba,"$1,350,000"
7,"5835 Sandhurst Ln #C Dallas, TX 75206","1,166 sqft",2bd,2ba,"$230,000"
8,"1803 N Winnetka Ave Dallas, TX 75208","1,596 sqft",3bd,2ba,"$555,000"
9,"5950 Lindenshire Ln #107 Dallas, TX 75230","1,756 sqft",2bd,3ba,"$435,000"
10,"5411 Live Oak St Dallas, TX 75206","2,664 sqft",4bd,4ba,"$799,000"
11,"3734 Alta Vista Ln Dallas, TX 75229","2,706 sqft (on 0.37 acres)",4bd,3ba,"$750,000"
12,"14151 Montfort Dr #291 Dallas, TX 75254","1,336 sqft",2bd,2ba,"$300,000"
13,"4143 Newton Ave #C Dallas, TX 75219",989 sqft,2bd,2ba,"$399,000"
14,"11340 Mathis Ave Dallas, TX 75229",NA,NA,NA,"$1,000,000"
15,"2324 Rook Dr Dallas, TX 75211","1,516 sqft",2bd,3ba,"$419,500"
16,"5321 Bryan St Dallas, TX 75206","2,720 sqft",4bd,4ba,"$799,000"
17,"1421 S Brighton Ave Dallas, TX 75208","1,173 sqft",3bd,1ba,"$239,900"
18,"5151 Whispering Oaks Dr Dallas, TX 75236","2,293 sqft (on 0.25 acres)",3bd,2ba,"$345,000"
19,"414 W Montana Ave Dallas, TX 75224","3,030 sqft",6bd,3ba,"$500,000"
20,"5423 Tanbark Rd Dallas, TX 75229","4,546 sqft (on 0.50 acres)",5bd,5ba,"$2,099,000"
21,"Enclave at Vanguard Way - Darling Dallas, TX 75243","3,655 sqft",4bd,4ba,"$1,537,203+"
22,"2953 Townsend Dr Dallas, TX 75229","1,364 sqft",3bd,2ba,"$289,900"
23,"2442 Club Manor Dr Dallas, TX 75237","2,499 sqft",4bd,4ba,"$425,000"
24,"10443 Marsh Ln Dallas, TX 75229",NA,NA,NA,"$425,000"
25,"7622 Dentcrest Dr Dallas, TX 75254","3,420 sqft (on 0.29 acres)",6bd,4ba,"$550,000"
26,"2408 Victory Park Ln #933 Dallas, TX 75219","1,934 sqft",2bd,3ba,"$975,000"
27,"2408 Victory Park Ln #1432 Dallas, TX 75219","1,305 sqft",1bd,2ba,"$499,000"
28,"7244 Fernmeadow Dr Dallas, TX 75248","2,928 sqft (on 0.27 acres)",3bd,3ba,"$750,000"
29,"10411 Springhaven Dr Dallas, TX 75217","1,492 sqft",3bd,2ba,"$237,000"
30,"3611 Chicago St Dallas, TX 75212","2,651 sqft",4bd,3ba,"$675,000"
31,"601 N Rosemont Ave Dallas, TX 75208","1,586 sqft",3bd,1ba,"$545,450"
32,"Emory Park Dallas, TX 75212","1,750 sqft",3bd,4ba,"$524,000+"
33,"1842 Nomas St Dallas, TX 75212","3,194 sqft",5bd,4ba,"$1,060,000"
34,"8010 Copper Way Dallas, TX 75252","3,031 sqft",4bd,4ba,"$730,000"
35,"4613 Steel St Dallas, TX 75219","2,119 sqft",3bd,4ba,"$578,000"
36,"8910 Dartway Dr Dallas, TX 75227","1,772 sqft (on 0.27 acres)",3bd,2ba,"$283,000"
37,"1707 Caravan Trl Dallas, TX 75241","1,439 sqft (on 0.25 acres)",3bd,2ba,"$185,000"
38,"9827 Walnut St #N301 Dallas, TX 75243",423 sqft,1bd,1ba,"$69,990"
39,"Merion at Midtown Park Dallas, TX 75231","2,000 sqft",3bd,4ba,"$619,900+"
0,"6951 Freemont St Dallas, TX 75231","1,845 sqft",3bd,3ba,"$550,000"
1,"6933 La Vista Dr Dallas, TX 75214","2,924 sqft",4bd,3ba,"$1,125,000"
2,"7033 Creek Bend Rd Dallas, TX 75252","2,197 sqft (on 0.39 acres)",3bd,2ba,"$549,000"
3,"7111 Spanky Branch Dr Dallas, TX 75248","4,641 sqft (on 0.38 acres)",4bd,6ba,"$1,250,000"
4,"1722 Lewis Ct Dallas, TX 75206","1,466 sqft",2bd,3ba,"$525,000"
5,"3542 Granada Ave Dallas, TX 75230","3,165 sqft",4bd,4ba,"$1,300,000"
6,"1620 Hanging Cliff Dr Dallas, TX 75224","2,148 sqft",4bd,3ba,"$450,000"
7,"4317 Hartford St #207 Dallas, TX 75219",763 sqft,1bd,1ba,"$195,000"
8,"4325 Bowser Ave #102 Dallas, TX 75219","1,092 sqft",2bd,2ba,"$335,000"
9,"8003F Rothington Rd #1-7 Dallas, TX 75227","4,084 sqft (on 0.31 acres)",8bd,2ba,"$585,000"
10,"1649 Sylvan Ave Dallas, TX 75208","2,117 sqft (on 0.30 acres)",2bd,2ba,"$559,000"
11,"2620 N Henderson Ave Dallas, TX 75206","2,572 sqft",3bd,3ba,"$715,000"
12,"310 N Montclair Ave Dallas, TX 75208","1,770 sqft",3bd,2ba,"$540,000"
13,"5116 Briargrove Ln Dallas, TX 75287","4,192 sqft",4bd,5ba,"$1,029,000"
14,"6961 Abbey Ct Dallas, TX 75214","1,469 sqft",3bd,2ba,"$625,000"
15,"4242 Lomo Alto Dr #N33 Highland Park, TX 75219","2,011 sqft",2bd,4ba,"$599,000"
16,"11719 Yeager Dr Dallas, TX 75218","1,053 sqft",3bd,1ba,"$225,000"
17,"3930 Clear Cove Ln Dallas, TX 75244","3,081 sqft (on 0.37 acres)",4bd,4ba,"$947,700"
18,"4873 Bernal Dr Dallas, TX 75212","1,341 sqft",3bd,2ba,"$335,000"
19,"1694 Kings Hwy Dallas, TX 75208","2,003 sqft",3bd,3ba,"$685,000"
20,"3116 Sharpview Ln Dallas, TX 75228","2,048 sqft",3bd,3ba,"$465,000"
21,"Bleu Ciel Living Dallas, TX 75201","1,903 sqft",3bd,3ba,"$1,324,000+"
22,"5024 Jacob Way Dallas, TX 75211","1,480 sqft",4bd,2ba,"$310,000"
23,"3224 Tuskegee St Dallas, TX 75215","1,514 sqft",3bd,3ba,"$269,900"
24,"5735 Bent Creek Trl Dallas, TX 75252","3,910 sqft",5bd,6ba,"$775,000"
25,"4211 Delano Pl #3B Dallas, TX 75204","1,500 sqft",2bd,3ba,"$419,000"
26,"7526 Olusta Dr Dallas, TX 75217","1,843 sqft",4bd,2ba,"$280,000"
27,"4777 Cedar Springs Rd #7F Dallas, TX 75219",942 sqft,2bd,2ba,"$210,000"
28,"2002 Boyd St Dallas, TX 75224","1,872 sqft",4bd,2ba,"$480,000"
29,"559 Kirkwood Dr Dallas, TX 75218","1,321 sqft",3bd,1ba,"$445,000"
30,"6316 Tulip Ln Dallas, TX 75230","5,370 sqft (on 0.32 acres)",5bd,5ba,"$2,750,000"
31,"10562 High Hollows Dr #149 Dallas, TX 75230",851 sqft,2bd,1ba,"$170,000"
32,"4339 Holland Ave #B Dallas, TX 75219","1,630 sqft",2bd,3ba,"$440,000"
33,"5528 Bernal Dr Dallas, TX 75212","1,166 sqft (on 0.47 acres)",2bd,1ba,"$350,000"
34,"6910 Norway Pl Dallas, TX 75230","3,414 sqft (on 0.30 acres)",4bd,5ba,"$1,275,000"
35,"3776 Whitehall Dr Dallas, TX 75229","2,276 sqft (on 0.38 acres)",4bd,3ba,"$749,000"
36,"Tenison Village Dallas, TX 75228",NA,Studio,NA,
37,"3863 Duchess Trl Dallas, TX 75229","2,721 sqft (on 0.30 acres)",4bd,3ba,"$865,000"
38,"5705 Worth St Dallas, TX 75214","1,716 sqft",2bd,2ba,"$399,900"
39,"5018 Les Chateaux Dr #236 Dallas, TX 75235",805 sqft,1bd,1ba,"$150,000"
0,"1013 Valencia St Dallas, TX 75223","2,417 sqft (on 0.43 acres)",4bd,3ba,"$875,000"
1,"6210 Raintree Ct Dallas, TX 75254","6,022 sqft (on 1.07 acres)",5bd,6ba,"$3,249,000"
2,"4859 Cedar Springs Rd #149 Dallas, TX 75219",665 sqft,1bd,1ba,"$120,000"
3,"706 W Danieldale Rd Dallas, TX 75232","1,843 sqft (on 0.33 acres)",3bd,2ba,"$345,000"
4,"8746 Aldwick Dr Dallas, TX 75238","1,516 sqft",3bd,2ba,"$490,000"
5,"8719 Westfield Dr Dallas, TX 75243","1,473 sqft",3bd,2ba,"$395,000"
6,"6715 Joyce Way Dallas, TX 75225",NA,NA,NA,"$899,990"
7,"7340 Skillman St #802 Dallas, TX 75231",848 sqft,2bd,2ba,"$199,000"
8,"2527 Searcy Dr Dallas, TX 75211","1,932 sqft",5bd,2ba,"$443,000"
9,"9318 Jennie Lee Ln Dallas, TX 75227",NA,NA,NA,"$80,000"
10,"Abode @ White Rock Dallas, TX 75228","3,359 sqft",4bd,4ba,"$949,000+"
11,"7108 Merriman Pkwy Dallas, TX 75231","2,389 sqft",4bd,3ba,"$650,000"
12,"14721 Birchridge Dr Dallas, TX 75254","4,304 sqft (on 0.28 acres)",7bd,4ba,"$650,000"
13,"5707 Llano Ave Dallas, TX 75206","2,974 sqft",3bd,3ba,"$995,000"
14,"1838 Life Ave Dallas, TX 75212","1,830 sqft",3bd,2ba,"$529,900"
15,"530 Ella Ave Dallas, TX 75217","1,028 sqft",3bd,1ba,"$199,900"
16,"5712 Goliad Ave Dallas, TX 75206","3,072 sqft",4bd,3ba,"$1,125,000"
17,"11305 Prelude Dr Dallas, TX 75238","1,078 sqft",3bd,2ba,"$341,000"
18,"5723 Palo Pinto Ave Dallas, TX 75206","3,033 sqft (on 0.30 acres)",3bd,2ba,"$1,150,000"
19,"3225 Turtle Creek Blvd #204 Dallas, TX 75219","1,126 sqft",2bd,2ba,"$375,000"
20,"3204 Oakhurst St Dallas, TX 75214","3,119 sqft",4bd,4ba,"$1,299,000"
21,"7821 La Sobrina Dr Dallas, TX 75248","1,913 sqft",3bd,2ba,"$500,000"
22,"3112 Puget St Dallas, TX 75212",NA,NA,NA,"$100,000"
23,"4654 Beverly Dr Highland Park, TX 75209","3,876 sqft",4bd,4ba,"$2,120,000"
24,"13809 Charcoal Ln Farmers Branch, TX 75234","1,456 sqft",4bd,2ba,"$389,000"
25,"2939 Obannon Dr Dallas, TX 75224","1,611 sqft",4bd,2ba,"$270,000"
26,"6144 Berwyn Ln Dallas, TX 75214","2,156 sqft",3bd,3ba,"$850,000"
27,"4409 University Blvd University Park, TX 75205","3,618 sqft",4bd,5ba,"$1,495,000"
28,"12732 High Meadow Dr Dallas, TX 75244","2,514 sqft",4bd,3ba,"$735,000"
29,"12234 Veronica Rd Farmers Branch, TX 75234","1,885 sqft (on 0.33 acres)",3bd,3ba,"$365,000"
30,"15505 Branchcrest Cir Dallas, TX 75248","2,026 sqft",4bd,2ba,"$350,000"
31,"5216 Denton Dr Dallas, TX 75235","2,046 sqft",3bd,2ba,"$599,000"
32,"616 Hartsdale Dr Dallas, TX 75211","1,866 sqft",3bd,2ba,"$479,900"
33,"2849 Claudette Ave Dallas, TX 75211","1,584 sqft",3bd,2ba,"$565,000"
34,"3035 Modree Ave Dallas, TX 75216",936 sqft,3bd,1ba,"$185,000"
35,"306 S Glasgow Dr Dallas, TX 75214","3,074 sqft",4bd,4ba,"$805,000"
36,"Enclave at Vanguard Way - Darling Dallas, TX 75243","4,486 sqft",4bd,5ba,"$1,743,717+"
37,"14007 Brookgreen Dr Dallas, TX 75240","1,164 sqft",2bd,2ba,"$249,000"
38,"8148 Barbaree Blvd Dallas, TX 75228",NA,NA,NA,"$799,000"
39,"3030 Gladiolus Ln Dallas, TX 75233","2,668 sqft (on 1.08 acres)",3bd,3ba,"$685,000"
0,"3504 Mingo St #1 Dallas, TX 75223","1,680 sqft",4bd,2ba,"$293,000"
1,"418 Swaindell St Dallas, TX 75211","1,488 sqft (on 0.33 acres)",3bd,2ba,"$399,000"
2,"2218 Carnes St Dallas, TX 75208","2,085 sqft",2bd,1ba,"$589,000"
3,"9914 Lakemont Dr Dallas, TX 75220","1,884 sqft",3bd,2ba,"$768,800"
4,"9110 Clearhurst Dr Dallas, TX 75238","2,865 sqft",3bd,3ba,"$515,000"
5,"4645 Country Creek Dr #1098 Dallas, TX 75236","1,368 sqft",3bd,2ba,"$195,000"
6,"2426 Costa Mesa Dr Dallas, TX 75228","1,655 sqft",3bd,3ba,"$329,000"
7,"2435 W 10th St Dallas, TX 75211","1,809 sqft",4bd,2ba,"$399,900"
8,"6939 Pasadena Ave Dallas, TX 75214","3,912 sqft",4bd,4ba,"$1,931,000"
9,"6542 Brook Lake Dr Dallas, TX 75248","2,768 sqft",3bd,3ba,"$700,000"
10,"12123 Sunland St Dallas, TX 75218","1,112 sqft",3bd,2ba,"$352,000"
11,"2803 Gladstone Dr Dallas, TX 75211","1,091 sqft",2bd,1ba,"$240,000"
12,"4606 Alta Vista Ln Dallas, TX 75229","3,309 sqft (on 0.37 acres)",3bd,4ba,"$1,250,000"
13,"1649 Oak Glen Trl Dallas, TX 75232","1,749 sqft (on 0.28 acres)",3bd,2ba,"$260,000"
14,"3707 Gilbert Ave #4 Dallas, TX 75219","2,311 sqft",3bd,4ba,"$725,900"
15,"1600 Abrams Rd #25 Dallas, TX 75214","1,995 sqft",2bd,3ba,"$425,000"
16,"14151 Montfort Dr #243 Dallas, TX 75254","1,058 sqft",2bd,2ba,"$250,000"
17,"6645 Northaven Rd Dallas, TX 75230","14,795 sqft (on 1.77 acres)",6bd,12ba,"$10,900,000"
18,"9536 Spring Branch Dr Dallas, TX 75238","3,424 sqft",5bd,4ba,"$1,200,000"
19,"2831 Marder St Dallas, TX 75215",NA,NA,NA,"$79,000"
20,"1306 Serenade Ln Dallas, TX 75241","1,465 sqft",3bd,2ba,"$215,000"
21,"5815 Bryan Pkwy #40 Dallas, TX 75206","1,700 sqft",2bd,3ba,"$550,000"
22,"11039 Tibbs St Dallas, TX 75230","5,376 sqft (on 0.34 acres)",5bd,5ba,"$1,800,000"
23,"2031 Cullen Ave Dallas, TX 75206","1,406 sqft",3bd,2ba,"$545,000"
24,"5121 Miller Ave Dallas, TX 75206","2,651 sqft",3bd,3ba,"$699,900"
25,"2852 Valwood Pkwy Farmers Branch, TX 75234","1,736 sqft",3bd,2ba,"$426,900"
26,"3155 Waldrop Dr Dallas, TX 75229","2,231 sqft",3bd,3ba,"$510,000"
27,"4421 Fairfax Ave Highland Park, TX 75205","4,854 sqft",4bd,6ba,"$3,750,000"
28,"1319 Rancho Mirage Dr Dallas, TX 75204","1,902 sqft",3bd,4ba,"$550,000"
29,"8109 Skillman St #2024 Dallas, TX 75231",782 sqft,1bd,1ba,"$136,000"
30,"3047 Modree Ave Dallas, TX 75216","1,206 sqft",3bd,2ba,"$235,000"
31,"10832 Pinocchio Dr Dallas, TX 75229","2,506 sqft (on 0.36 acres)",4bd,3ba,"$840,000"
32,"907 Cedar Hill Ave Dallas, TX 75208","1,709 sqft",3bd,3ba,"$575,000"
33,"2722 Knight St #119D Dallas, TX 75219","1,314 sqft",2bd,3ba,"$325,000"
34,"2528 Marvin Ave Dallas, TX 75211","1,232 sqft",2bd,1ba,"$385,000"
35,"6046 Goodwin Ave Dallas, TX 75206","4,882 sqft",4bd,5ba,"$1,850,000"
36,"33 Glen Abbey Dr Dallas, TX 75248","9,457 sqft (on 0.54 acres)",5bd,7ba,"$5,495,000"
37,"3612 Cronk Ln Dallas, TX 75227","1,597 sqft",5bd,2ba,"$349,900"
38,"3336 Walchard Ct Dallas, TX 75229","3,070 sqft",3bd,4ba,"$850,000"
39,"4512 Arberry Ln Dallas, TX 75219","2,480 sqft",3bd,4ba,"$749,999"
0,"11643 Cimarec St Dallas, TX 75218","1,326 sqft",3bd,2ba,"$490,000"
1,"4333 Gilbert Ave #219 Dallas, TX 75219","1,655 sqft",2bd,2ba,"$485,000"
2,"5877 Orion Pl Dallas, TX 75235","2,131 sqft",3bd,3ba,"$575,000"
3,"8 Bretton Woods Way Dallas, TX 75220","5,717 sqft",3bd,4ba,"$3,000,000"
4,"8030 Moss Meadows Dr Dallas, TX 75231","2,378 sqft",4bd,2ba,"$640,000"
5,"1931 Lansford Ave Dallas, TX 75224","1,200 sqft",3bd,1ba,"$359,000"
6,"1213 Silver Mill Dr Dallas, TX 75215","2,038 sqft",3bd,4ba,"$575,000"
7,"6309 Pineview Rd Dallas, TX 75248","4,857 sqft",6bd,6ba,"$1,325,000"
8,"6464 Northport Dr Dallas, TX 75230","4,602 sqft (on 0.37 acres)",4bd,4ba,"$2,495,000"
9,"3128 Royal Gable Dr Dallas, TX 75229","1,078 sqft",2bd,2ba,"$232,000"
10,"8218 Horsetail Ct Dallas, TX 75252","2,723 sqft",4bd,4ba,"$749,900"
11,"5847 Morningside Ave Dallas, TX 75206","3,048 sqft",3bd,3ba,"$995,000"
12,"6410 Meadowcreek Dr Dallas, TX 75254","4,151 sqft (on 0.46 acres)",4bd,4ba,"$1,500,000"
13,"3915 Durango Dr Dallas, TX 75220","4,165 sqft",4bd,4ba,"$1,550,000"
14,"6012 Kenwood Ave Dallas, TX 75206","1,692 sqft",2bd,2ba,"$630,000"
15,"3730 Hilda Cir Dallas, TX 75241","1,188 sqft",4bd,1ba,"$205,000"
16,"3234 Blackburn Dr Dallas, TX 75204","2,355 sqft",2bd,3ba,"$725,000"
17,"4300 Grassmere Ln University Park, TX 75205","4,817 sqft",5bd,5ba,"$2,799,000"
18,"3100 Cole Ave #206 Dallas, TX 75204",990 sqft,2bd,2ba,"$320,000"
19,"6404 Orchid Ln Dallas, TX 75230","6,821 sqft (on 0.32 acres)",5bd,6ba,"$3,995,000"
20,"12108 Fieldwood Ln Dallas, TX 75244","5,516 sqft (on 0.38 acres)",6bd,7ba,"$2,400,000"
21,"618 Hambrick Rd Dallas, TX 75218","1,699 sqft",3bd,2ba,"$450,000"
22,"Bleu Ciel Living Dallas, TX 75201","1,373 sqft",2bd,2ba,"$1,308,000+"
23,"4929 Ellensburg Dr Dallas, TX 75244","3,800 sqft (on 0.38 acres)",5bd,5ba,"$1,725,000"
24,"2710 Throckmorton St #C Dallas, TX 75209","1,919 sqft",2bd,3ba,"$590,000"
25,"3132 Dorrington Dr Dallas, TX 75228","2,066 sqft",3bd,3ba,"$449,000"
26,"6555 Crestmere Dr Dallas, TX 75254","4,376 sqft (on 0.42 acres)",5bd,5ba,"$1,595,000"
27,"2221 Madera St Dallas, TX 75206","3,093 sqft",4bd,4ba,"$950,000"
28,"413 Hart St Dallas, TX 75203",NA,NA,NA,"$74,900"
29,"5609 Smu Blvd #408 Dallas, TX 75206","1,158 sqft",2bd,2ba,"$375,000"
30,"7041 Freemont St Dallas, TX 75231","3,116 sqft",4bd,3ba,"$599,500"
31,"13528 Waterfall Way Dallas, TX 75240","1,148 sqft",2bd,2ba,"$259,000"
32,"14344 Shady Branch Trl Dallas, TX 75253","1,611 sqft",3bd,2ba,"$275,000"
33,"8540 Westfield Dr Dallas, TX 75243","1,816 sqft",3bd,3ba,"$399,000"
34,"5310 Keller Springs Rd #212 Dallas, TX 75248","1,159 sqft",2bd,2ba,"$250,000"
35,"2201 Wolf St #7210 Dallas, TX 75201","1,114 sqft",1bd,1ba,"$299,900"
36,"3419 Spruce Valley Ln Dallas, TX 75233","2,164 sqft",4bd,3ba,"$395,000"
37,"7204 Claybrook Dr Dallas, TX 75231","3,589 sqft",5bd,5ba,"$825,000"
38,"5528 Bandit Dr Dallas, TX 75249","1,993 sqft",3bd,2ba,"$349,000"
39,"6217 Monticello Ave Dallas, TX 75214","1,519 sqft",2bd,2ba,"$649,500"
0,"6605 Bandera Ave #1E Dallas, TX 75225","2,093 sqft",1bd,3ba,"$555,000"
1,"10906 Visalia Dr Dallas, TX 75228","1,460 sqft (on 0.30 acres)",3bd,1ba,"$239,000"
2,"9731 Parkford Dr Dallas, TX 75238","1,848 sqft",3bd,3ba,"$625,000"
3,"618 W 9th St Dallas, TX 75208","3,914 sqft",Studio,NA,"$630,000"
4,"9651 Lynbrook Dr Dallas, TX 75238","1,977 sqft",4bd,2ba,"$650,000"
5,"5817 Martel Ave Dallas, TX 75206","1,851 sqft",4bd,2ba,"$675,000"
6,"182 Easton Rd Dallas, TX 75218","1,939 sqft (on 0.26 acres)",4bd,3ba,"$749,900"
7,"7526 Kenwell St Dallas, TX 75209","1,040 sqft",2bd,1ba,"$597,500"
8,"11625 Farrar St Dallas, TX 75218","1,800 sqft",3bd,2ba,"$669,900"
9,"12023 Shirestone Ln Dallas, TX 75244","3,533 sqft (on 0.31 acres)",4bd,4ba,"$1,269,000"
10,"1215 Grant St Dallas, TX 75203","2,200 sqft",3bd,2ba,"$254,900"
11,"2515 Highwood Dr Dallas, TX 75228","1,265 sqft",3bd,2ba,"$349,999"
12,"11123 Pinocchio Dr Dallas, TX 75229","1,879 sqft (on 0.38 acres)",3bd,2ba,"$850,000"
13,"2421 N Garrett Ave #3 Dallas, TX 75206","2,028 sqft",3bd,4ba,"$699,000"
14,"6808 Eastridge Dr #12 Dallas, TX 75231","1,287 sqft (on 1.41 acres)",2bd,2ba,"$199,500"
15,"13345 Winterhaven Dr Farmers Branch, TX 75234","1,358 sqft",3bd,1ba,"$309,900"
16,"42 Vanguard Way Dallas, TX 75243","3,632 sqft",3bd,4ba,"$1,550,000"
17,"9951 Tanglevine Dr Dallas, TX 75238","3,044 sqft",4bd,3ba,"$645,000"
18,"3800 N Versailles Ave Dallas, TX 75209","2,722 sqft",4bd,3ba,"$1,350,000"
19,"2526 Stovall Dr Dallas, TX 75216",774 sqft,2bd,1ba,"$155,000"
20,"12921 Abrams Rd #107 Dallas, TX 75243","1,134 sqft",2bd,3ba,"$205,000"
21,"926 Chevez Dr Dallas, TX 75211","1,752 sqft",3bd,2ba,"$375,000"
22,"5010 Bowser Ave #103 Dallas, TX 75209",617 sqft,1bd,1ba,"$85,000"
23,"2210 Marilla St Dallas, TX 75201","2,232 sqft",3bd,3ba,"$625,000"
24,"2504 Summit Ln Dallas, TX 75227",999 sqft,5bd,3ba,"$425,000"
25,"314 Longridge Dr Dallas, TX 75232","1,491 sqft",4bd,2ba,"$254,900"
26,"2109 Ash Grove Way Dallas, TX 75228","2,341 sqft",4bd,3ba,"$588,000"
27,"414 N Winnetka Ave Dallas, TX 75208","1,180 sqft",2bd,2ba,"$447,700"
28,"6550 Winton St Dallas, TX 75214","1,810 sqft",4bd,3ba,"$899,000"
29,"2022 Berwick Ave Dallas, TX 75203","1,464 sqft",3bd,1ba,"$130,000"
30,"12585 Mercer Pkwy Farmers Branch, TX 75234","3,266 sqft",4bd,4ba,"$875,000"
31,"523 S Moore St Dallas, TX 75203","2,291 sqft",4bd,3ba,"$700,000"
32,"3911 Fairmount St #D Dallas, TX 75219",971 sqft,2bd,2ba,"$279,900"
33,"Enclave at Vanguard Way - Darling Dallas, TX 75243","4,467 sqft",5bd,6ba,"$1,740,391+"
34,"7718 Arborside Dr Dallas, TX 75231","2,207 sqft",3bd,3ba,"$615,000"
35,"3224 Little River Dr Dallas, TX 75241","1,202 sqft",3bd,2ba,"$210,000"
36,"6535 Barkwood Ln Dallas, TX 75248","3,485 sqft",4bd,4ba,"$959,900"
37,"3714 Davila Dr Dallas, TX 75220","1,148 sqft",3bd,1ba,"$425,000"
38,"3015 Bryan St #3D Dallas, TX 75204","1,187 sqft",2bd,2ba,"$275,000"
39,"1831 Meadow Valley Ln Dallas, TX 75232","3,055 sqft",6bd,3ba,"$353,000"
0,"2946 Windmill Ln Farmers Branch, TX 75234","1,395 sqft",3bd,2ba,"$379,900"
1,"2735 Grafton Ave Dallas, TX 75211","1,248 sqft",4bd,2ba,"$400,000"
2,"12232 Montego Plz Dallas, TX 75230","1,858 sqft",2bd,3ba,"$425,000"
3,"838 N Beckley Ave Dallas, TX 75203","1,488 sqft",4bd,2ba,"$335,000"
4,"2810 Vacherie Ln Dallas, TX 75227","4,121 sqft (on 0.37 acres)",4bd,4ba,"$619,000"
5,"1801 Annex Ave #506 Dallas, TX 75204","2,154 sqft",2bd,4ba,"$549,900"
