ID,Address,SFT,Beds,Baths,Price
26,"3525 Hacienda Dr Dallas, TX 75233","1,900 sqft",5bd,2ba,"$340,000"
27,"5909 Luther Ln #1100 Dallas, TX 75225","1,360 sqft",2bd,2ba,"$469,000"
28,"8533 Blossom Ln Dallas, TX 75227","1,460 sqft",3bd,2ba,"$262,000"
29,"1717 Annex Ave #604 Dallas, TX 75204","2,154 sqft (on 1.83 acres)",2bd,4ba,"$575,000"
30,"2525 N Pearl St #1102B Dallas, TX 75201","4,257 sqft",3bd,4ba,"$4,599,000"
31,"1003 Elsbeth St Dallas, TX 75208",NA,NA,NA,"$311,000"
32,"3318 Princeton Ave Highland Park, TX 75205","5,584 sqft",4bd,6ba,"$3,999,000"
33,"4411 Gilbert Ave #4 Dallas, TX 75219","1,730 sqft (on 0.46 acres)",2bd,3ba,"$495,000"
34,"5910 E Mockingbird Ln Dallas, TX 75206","1,987 sqft",3bd,4ba,"$625,000"
35,"Abode @ White Rock Dallas, TX 75228","3,154 sqft",4bd,4ba,"$909,000+"
36,"2822 Dawson St Dallas, TX 75226",NA,NA,NA,"$108,900"
37,"2757 W Clarendon Dr Dallas, TX 75211","1,056 sqft",2bd,2ba,"$300,000"
38,"1307 Cedar Oaks Blvd Dallas, TX 75216","2,008 sqft",3bd,2ba,"$429,900"
39,"1356 Kingsley Dr Dallas, TX 75216","1,607 sqft",3bd,2ba,"$255,000"
0,"3520 Bertrand Ave Dallas, TX 75210",NA,NA,NA,"$60,000"
1,"Wellington Farms Dallas Dallas, TX 75253","1,836 sqft",4bd,2ba,"$326,490+"
2,"1747 Leonard St #803 Dallas, TX 75201","2,918 sqft",3bd,4ba,"$3,570,000"
3,"4511 Solar Ln Dallas, TX 75216",NA,NA,NA,"$59,000"
4,"5519 Reiger Ave Dallas, TX 75214","3,420 sqft",5bd,4ba,"$799,999"
5,"7125 Fair Oaks Ave #2 Dallas, TX 75231",766 sqft,1bd,1ba,"$90,000"
6,"1511 N Garrett Ave Dallas, TX 75206","2,300 sqft",4bd,2ba,"$575,000"
7,"2507 Lawrence St Dallas, TX 75215","1,836 sqft",4bd,3ba,"$399,000"
8,"8209 Elam Rd Dallas, TX 75217","2,187 sqft",3bd,2ba,"$260,000"
9,"6807 Stefani Dr Dallas, TX 75225","5,956 sqft (on 0.41 acres)",5bd,7ba,"$3,299,000"
10,"4804 Manett St Dallas, TX 75204","3,225 sqft",3bd,4ba,"$1,095,000"
11,"10770 Lennox Ln Dallas, TX 75229","11,917 sqft (on 1 acre)",5bd,7ba,"$6,000,000"
12,"4621 Dove Creek Way Dallas, TX 75232","1,476 sqft",3bd,2ba,"$250,000"
13,"13745 Spring Grove Ave Dallas, TX 75240","2,841 sqft",3bd,3ba,"$569,000"
14,"5023 Garland Ave Dallas, TX 75223","1,260 sqft",2bd,1ba,"$220,000"
15,"1210 Murdock Rd Dallas, TX 75217","1,122 sqft (on 0.32 acres)",4bd,3ba,"$229,000"
16,"Wellington Farms Dallas Dallas, TX 75253","2,569 sqft",3bd,2ba,"$361,490+"
17,"11743 El Hara Cir Dallas, TX 75230","4,447 sqft (on 0.50 acres)",3bd,4ba,"$1,585,000"
18,"2950 McKinney Ave Dallas, TX 75204","1,027 sqft",1bd,2ba,"$360,000"
19,"18732 Voss Rd Dallas, TX 75287","1,789 sqft",3bd,3ba,"$409,900"
20,"5200 Keller Springs Rd #131 Dallas, TX 75248","1,766 sqft",1bd,2ba,"$325,000"
21,"11205 Northland Cir Dallas, TX 75230","2,230 sqft (on 0.49 acres)",5bd,3ba,"$950,000"
22,"3111 Welborn St #1306 Dallas, TX 75219","2,105 sqft",2bd,3ba,"$620,000"
23,"University Place Dallas, TX 75252","3,307 sqft",4bd,4ba,"$797,499+"
24,"4814 Swiss Ave Dallas, TX 75204","3,420 sqft",5bd,3ba,"$749,900"
25,"3917 Davila Dr Dallas, TX 75220","4,115 sqft",4bd,4ba,"$1,625,425"
26,"2722 Knight St #110D Dallas, TX 75219","2,010 sqft",2bd,3ba,"$389,000"
27,"10127 Hedgeway Dr Dallas, TX 75229","2,330 sqft (on 0.39 acres)",4bd,2ba,"$719,000"
28,"8619 Edgemere Rd #6 Dallas, TX 75225","1,395 sqft",2bd,2ba,"$290,000"
29,"3516 Parkridge Dr #109 Dallas, TX 75234","1,122 sqft",2bd,2ba,"$200,000"
30,"Bleu Ciel Living Dallas, TX 75201","1,527 sqft",2bd,3ba,"$1,105,000+"
31,"531 Crete St Dallas, TX 75203","2,557 sqft",4bd,3ba,"$575,000"
32,"5550 Spring Valley Rd #D16 Dallas, TX 75254",663 sqft,1bd,1ba,"$146,000"
33,"6834 Clark Vista Dr Dallas, TX 75236","1,446 sqft",3bd,2ba,"$299,900"
34,"6142 Veranda Way Dallas, TX 75241","1,996 sqft",3bd,2ba,"$299,900"
35,"3019 Flask Dr Dallas, TX 75241","1,639 sqft",3bd,2ba,"$265,000"
36,"1917 Lamont Ave Dallas, TX 75216","1,145 sqft",2bd,2ba,"$263,599"
37,"910 S Cesar Chavez Blvd Dallas, TX 75201","2,463 sqft",2bd,3ba,"$630,000"
38,"10335 Waterbury Dr Dallas, TX 75217",906 sqft,2bd,1ba,"$185,000"
39,"3721 Weeburn Dr Dallas, TX 75229","2,093 sqft",3bd,3ba,"$479,996"
0,"12331 Creekspan Dr Dallas, TX 75243","3,353 sqft",4bd,4ba,"$599,999"
1,"8006 Acoma Ln Dallas, TX 75252","2,663 sqft",4bd,4ba,"$775,000"
2,"5628 Lindenshire Ln Dallas, TX 75230","6,336 sqft (on 0.38 acres)",5bd,7ba,"$2,550,000"
3,"15 Lakeside Park Dallas, TX 75225","4,289 sqft",3bd,5ba,"$1,775,000"
4,"9524 Crestedge Dr Dallas, TX 75238","2,440 sqft",4bd,3ba,"$749,000"
5,"7429 Villanova St Dallas, TX 75225",NA,NA,NA,"$1,200,000"
6,"8065 Meadow Rd #211 Dallas, TX 75231","1,433 sqft",2bd,3ba,"$234,000"
7,"7013 Allview Ln Dallas, TX 75227","1,935 sqft",3bd,2ba,"$360,000"
8,"11046 McCree Rd Dallas, TX 75238","1,895 sqft",3bd,2ba,"$396,000"
9,"4700 Dorset Rd Dallas, TX 75229","13,104 sqft (on 1.19 acres)",6bd,9ba,"$10,000,000"
10,"9337 Chimney Sweep Ln Dallas, TX 75243","1,742 sqft",3bd,2ba,"$289,000"
11,"10245 Carry Back Cir Dallas, TX 75229","2,005 sqft",4bd,3ba,"$600,000"
12,"9143 Devonshire Dr Dallas, TX 75209","2,256 sqft (on 0.70 acres)",Studio,NA,"$1,350,000"
13,"4020 Sleepy Ln Dallas, TX 75229","2,258 sqft (on 0.43 acres)",3bd,2ba,"$750,000"
14,"2307 Licorice Pl Dallas, TX 75217","1,348 sqft",3bd,2ba,"$286,000"
15,"1703 S Farola Dr Dallas, TX 75228",804 sqft,2bd,1ba,"$195,000"
16,"712 W 8th St Dallas, TX 75208","1,260 sqft",2bd,1ba,"$428,400"
17,"12484 Abrams Rd #1629 Dallas, TX 75243",998 sqft,2bd,2ba,"$157,000"
18,"1434 Tranquilla Dr Dallas, TX 75218","2,394 sqft (on 0.40 acres)",3bd,4ba,"$899,000"
19,"7014 San Mateo Blvd Dallas, TX 75223","2,199 sqft",3bd,3ba,"$799,000"
20,"3218 S Marsalis Ave Dallas, TX 75216",819 sqft,2bd,1ba,"$180,000"
21,"3654 Timberview Rd Dallas, TX 75229",NA,NA,NA,"$675,000"
